917695: {'map': 0.0004329004329004329, 'bpref': 0.3333333333333333, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.0, 'P_200': 0.0, 'P_500': 0.0, 'P_1000': 0.001, 'ndcg': 0.06660571278431357}
193: {'map': 0.020600092547010788, 'bpref': 1.0, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.02, 'P_200': 0.015, 'P_500': 0.006, 'P_1000': 0.004, 'ndcg': 0.21389876183986123}
209: {'map': 0.0395977887784636, 'bpref': 0.5714285714285714, 'P_5': 0.2, 'P_10': 0.1, 'P_15': 0.06666666666666667, 'P_20': 0.05, 'P_30': 0.03333333333333333, 'P_100': 0.01, 'P_200': 0.01, 'P_500': 0.006, 'P_1000': 0.004, 'ndcg': 0.17011176157388522}
688338: {'map': 0.005093216531895777, 'bpref': 0.5, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.01, 'P_200': 0.005, 'P_500': 0.002, 'P_1000': 0.002, 'ndcg': 0.11729792641055017}
458967: {'map': 0.0006729475100942127, 'bpref': 0.25, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.0, 'P_200': 0.0, 'P_500': 0.0, 'P_1000': 0.001, 'ndcg': 0.03984562729717087}
219: {'map': 0.18022682402572573, 'bpref': 1.0, 'P_5': 0.4, 'P_10': 0.2, 'P_15': 0.13333333333333333, 'P_20': 0.1, 'P_30': 0.06666666666666667, 'P_100': 0.02, 'P_200': 0.025, 'P_500': 0.01, 'P_1000': 0.006, 'ndcg': 0.41257635880614335}
224: {'map': 0.0, 'bpref': 0.0, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.0, 'P_200': 0.0, 'P_500': 0.0, 'P_1000': 0.0, 'ndcg': 0.0}
426211: {'map': 0.006756756756756757, 'bpref': 0.5, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.01, 'P_200': 0.005, 'P_500': 0.002, 'P_1000': 0.001, 'ndcg': 0.1220436123131639}
65764: {'map': 0.17996337884156638, 'bpref': 0.8666666666666666, 'P_5': 0.2, 'P_10': 0.2, 'P_15': 0.13333333333333333, 'P_20': 0.1, 'P_30': 0.06666666666666667, 'P_100': 0.03, 'P_200': 0.015, 'P_500': 0.008, 'P_1000': 0.005, 'ndcg': 0.49830576410349026}
230: {'map': 0.015873015873015872, 'bpref': 0.4, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.03333333333333333, 'P_100': 0.02, 'P_200': 0.01, 'P_500': 0.004, 'P_1000': 0.002, 'ndcg': 0.15579604513580572}
295155: {'map': 0.2980555555555556, 'bpref': 0.6666666666666666, 'P_5': 0.2, 'P_10': 0.3, 'P_15': 0.2, 'P_20': 0.15, 'P_30': 0.1, 'P_100': 0.04, 'P_200': 0.02, 'P_500': 0.008, 'P_1000': 0.004, 'ndcg': 0.5025774871467324}
247: {'map': 0.002853486085904416, 'bpref': 0.3, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.01, 'P_200': 0.005, 'P_500': 0.004, 'P_1000': 0.003, 'ndcg': 0.0974954546760419}
248: {'map': 0.04751327361191784, 'bpref': 0.6666666666666666, 'P_5': 0.0, 'P_10': 0.1, 'P_15': 0.06666666666666667, 'P_20': 0.05, 'P_30': 0.06666666666666667, 'P_100': 0.03, 'P_200': 0.015, 'P_500': 0.008, 'P_1000': 0.004, 'ndcg': 0.2647487682906913}
