65866: {'map': 0.004166666666666667, 'bpref': 0.2, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.01, 'P_200': 0.005, 'P_500': 0.002, 'P_1000': 0.001, 'ndcg': 0.03889243707287334}
65872: {'map': 0.02062667296488742, 'bpref': 0.3333333333333333, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.03333333333333333, 'P_100': 0.02, 'P_200': 0.01, 'P_500': 0.004, 'P_1000': 0.002, 'ndcg': 0.1679643530818657}
343: {'map': 0.00038095238095238096, 'bpref': 0.2, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.0, 'P_200': 0.0, 'P_500': 0.0, 'P_1000': 0.001, 'ndcg': 0.028019208315349906}
1081689: {'map': 0.5555555555555555, 'bpref': 0.6666666666666666, 'P_5': 0.4, 'P_10': 0.2, 'P_15': 0.13333333333333333, 'P_20': 0.1, 'P_30': 0.06666666666666667, 'P_100': 0.02, 'P_200': 0.01, 'P_500': 0.004, 'P_1000': 0.002, 'ndcg': 0.7039180890341347}
393563: {'map': 0.05254310738071344, 'bpref': 0.6, 'P_5': 0.2, 'P_10': 0.1, 'P_15': 0.06666666666666667, 'P_20': 0.05, 'P_30': 0.03333333333333333, 'P_100': 0.01, 'P_200': 0.005, 'P_500': 0.004, 'P_1000': 0.003, 'ndcg': 0.1678108438724151}
196960: {'map': 0.41132075471698115, 'bpref': 0.6, 'P_5': 0.4, 'P_10': 0.2, 'P_15': 0.13333333333333333, 'P_20': 0.1, 'P_30': 0.06666666666666667, 'P_100': 0.03, 'P_200': 0.015, 'P_500': 0.006, 'P_1000': 0.003, 'ndcg': 0.710595365608271}
358: {'map': 0.00790114785075858, 'bpref': 0.3333333333333333, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.05, 'P_30': 0.03333333333333333, 'P_100': 0.01, 'P_200': 0.005, 'P_500': 0.006, 'P_1000': 0.003, 'ndcg': 0.09735458302606578}
33126: {'map': 0.03643724696356275, 'bpref': 0.4, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.06666666666666667, 'P_20': 0.1, 'P_30': 0.06666666666666667, 'P_100': 0.02, 'P_200': 0.01, 'P_500': 0.004, 'P_1000': 0.002, 'ndcg': 0.12511912453006788}
688498: {'map': 0.5793650793650794, 'bpref': 0.6666666666666666, 'P_5': 0.8, 'P_10': 0.5, 'P_15': 0.4, 'P_20': 0.3, 'P_30': 0.2, 'P_100': 0.06, 'P_200': 0.03, 'P_500': 0.012, 'P_1000': 0.006, 'ndcg': 0.7965239704438315}
1147254: {'map': 0.004273504273504273, 'bpref': 0.16666666666666666, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.01, 'P_200': 0.005, 'P_500': 0.002, 'P_1000': 0.001, 'ndcg': 0.03807074615540998}
33149: {'map': 0.29788991043374446, 'bpref': 0.8333333333333334, 'P_5': 0.4, 'P_10': 0.2, 'P_15': 0.2, 'P_20': 0.15, 'P_30': 0.1, 'P_100': 0.04, 'P_200': 0.02, 'P_500': 0.01, 'P_1000': 0.005, 'ndcg': 0.6214848889425175}
819585: {'map': 0.0, 'bpref': 0.0, 'P_5': 0.0, 'P_10': 0.0, 'P_15': 0.0, 'P_20': 0.0, 'P_30': 0.0, 'P_100': 0.0, 'P_200': 0.0, 'P_500': 0.0, 'P_1000': 0.0, 'ndcg': 0.0}
164227: {'map': 0.13836999367024164, 'bpref': 0.41666666666666674, 'P_5': 0.4, 'P_10': 0.2, 'P_15': 0.13333333333333333, 'P_20': 0.15, 'P_30': 0.1, 'P_100': 0.04, 'P_200': 0.02, 'P_500': 0.012, 'P_1000': 0.006, 'ndcg': 0.4196993371303011}
